epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.224,1.43252,4.98855,1.48996,0.01545,0.13449,0.04465,0.03404,1.11504,4.52994,1.21697,6.26912e-05,6.26912e-05,6.26912e-05
2,1088.02,1.08222,4.15787,1.17949,0.73627,0.13968,0.16089,0.12896,0.93839,3.31468,1.14958,0.000117396,0.000117396,0.000117396
3,1577.91,1.01385,3.20725,1.1445,0.74955,0.17304,0.18698,0.14933,0.88306,2.61523,1.08211,0.000163784,0.000163784,0.000163784
4,2014.7,0.9664,2.64155,1.127,0.77111,0.19964,0.2422,0.18487,0.87645,2.4154,1.07258,0.000151578,0.000151578,0.000151578
5,2459.78,0.90829,2.2842,1.10655,0.66825,0.25916,0.27747,0.21459,0.86894,2.2164,1.07889,0.000139104,0.000139104,0.000139104
6,2898.7,0.77225,1.89358,1.06726,0.55698,0.36784,0.39943,0.29049,0.85085,2.03678,1.07852,0.00012663,0.00012663,0.00012663
7,3338.62,0.72068,1.63367,1.02904,0.58529,0.39337,0.44038,0.34987,0.84626,1.92947,1.06977,0.000114156,0.000114156,0.000114156
8,3788.05,0.69012,1.51765,1.01379,0.59371,0.4458,0.47691,0.36278,0.83974,1.83805,1.04326,0.000101682,0.000101682,0.000101682
9,4235.56,0.67299,1.39384,1.00163,0.66025,0.45513,0.47996,0.37047,0.81861,1.79996,1.05562,8.9208e-05,8.9208e-05,8.9208e-05
10,4671.99,0.65218,1.31262,0.98801,0.74641,0.43358,0.50316,0.40003,0.79586,1.81424,1.04633,7.6734e-05,7.6734e-05,7.6734e-05
11,5102.18,0.62153,1.21697,0.97582,0.7691,0.4437,0.52555,0.40868,0.77921,1.80231,1.03852,6.426e-05,6.426e-05,6.426e-05
12,5540.02,0.60825,1.17759,0.97006,0.61521,0.49483,0.48191,0.38542,0.7786,1.80583,1.04086,5.1786e-05,5.1786e-05,5.1786e-05
13,5978.6,0.58833,1.10749,0.96206,0.78266,0.4465,0.53282,0.40994,0.7906,1.74673,1.04096,3.9312e-05,3.9312e-05,3.9312e-05
14,6413.26,0.58365,1.08174,0.95852,0.79052,0.41959,0.51762,0.40668,0.77332,1.76277,1.02966,2.6838e-05,2.6838e-05,2.6838e-05
15,6845.35,0.55374,1.07516,0.93938,0.74221,0.46928,0.52318,0.40985,0.75702,1.76143,1.02605,1.4364e-05,1.4364e-05,1.4364e-05
